age,sex,race,education,employment,income,avebooks,readprint,readaudio,readebook,borrowed,lib, bought, other, news, mags, total
16 to 26,Female,Black or African-American,High school incomplete,Not employed for pay,Unknown,1,0,0,0,1,0,0,0,0,0,1
16 to 26,Male,Black or African-American,High school incomplete,Not employed for pay,Unknown,16,1,0,0,0,1,0,1,1,1,2
16 to 26,Female,Black or African-American,High school incomplete,Student,$100k to under $150k,30,1,0,0,1,0,0,0,0,1,1
16 to 26,Female,Black or African-American,High school graduate,Employed part-time,$10k to under $20k,3,1,1,1,0,1,0,0,0,0,1
16 to 26,Female,Black or African-American,High school graduate,Employed part-time,$20k to under $30k,25,1,0,0,0,1,0,0,0,1,1
16 to 26,Male,Black or African-American,High school graduate,Employed part-time,$20k to under $30k,30,1,0,1,0,0,1,0,1,1,1
16 to 26,Female,Black or African-American,High school graduate,Employed part-time,$30k to under $40k,5,1,0,0,0,1,0,0,1,1,1
16 to 26,Male,Black or African-American,High school graduate,Employed part-time,$50k to under $75k,30,1,0,1,0,0,0,1,0,0,1
16 to 26,Male,Black or African-American,High school graduate,Employed part-time,$75k to under $100k,2,1,0,0,0,1,0,0,0,0,1
16 to 26,Male,Black or African-American,High school graduate,Employed part-time,$100k to under $150k,52,2,0,0,2,0,0,0,2,1,2
16 to 26,Male,Black or African-American,High school graduate,Employed full-time,$10k to under $20k,9,1,1,0,2,0,0,0,1,2,2
16 to 26,Female,Black or African-American,High school graduate,Employed full-time,$30k to under $40k,3,1,0,0,0,0,1,0,0,0,1
16 to 26,Male,Black or African-American,High school graduate,Employed full-time,$30k to under $40k,3,1,0,0,1,0,0,0,1,0,1
16 to 26,Female,Black or African-American,High school graduate,Employed full-time,$40k to under $50k,3,1,0,0,0,1,0,0,1,1,1
16 to 26,Male,Black or African-American,High school graduate,Employed full-time,$40k to under $50k,1,1,0,0,0,0,1,0,0,0,1
16 to 26,Male,Black or African-American,High school graduate,Employed full-time,$100k to under $150k,1,0,0,0,0,0,0,1,1,0,1
16 to 26,Male,Black or African-American,High school graduate,Not employed for pay,Less than $10k,30,1,0,1,1,0,0,0,1,1,1
16 to 26,Female,Black or African-American,High school graduate,Not employed for pay,$20k to under $30k,40,0,0,0,0,0,1,0,1,1,1
16 to 26,Male,Black or African-American,High school graduate,Not employed for pay,$40k to under $50k,5,1,0,0,1,0,0,0,0,1,1
16 to 26,Female,Black or African-American,High school graduate,Not employed for pay,$50k to under $75k,4,1,0,0,0,0,1,0,0,1,1
16 to 26,Female,Black or African-American,High school graduate,Not employed for pay,$75k to under $100k,12,1,0,1,0,0,1,0,1,0,1
16 to 26,Female,Black or African-American,High school graduate,Not employed for pay,$100k to under $150k,6,1,0,0,1,0,0,0,0,0,1
16 to 26,Male,Black or African-American,High school graduate,Not employed for pay,$100k to under $150k,7,1,0,0,0,0,0,2,1,1,2
16 to 26,Female,Black or African-American,High school graduate,Student,$10k to under $20k,97,1,0,1,0,1,0,0,0,1,1
16 to 26,Female,Black or African-American,High school graduate,Student,$30k to under $40k,1,1,0,0,0,0,1,0,1,1,1
16 to 26,Female,Black or African-American,College graduate,Employed full-time,Less than $10k,15,1,0,0,0,1,0,0,1,1,1
16 to 26,Female,Black or African-American,College graduate,Employed full-time,$10k to under $20k,10,1,0,0,1,0,0,0,0,0,1
16 to 26,Male,Black or African-American,College graduate,Employed full-time,$100k to under $150k,7,0,0,1,0,0,0,1,0,0,1
16 to 26,Female,Black or African-American,Some college,Employed part-time,Less than $10k,5,0,0,0,0,0,1,0,0,0,1
16 to 26,Male,Black or African-American,Some college,Employed part-time,Less than $10k,35,1,0,0,0,0,1,0,1,1,1
16 to 26,Female,Black or African-American,Some college,Employed part-time,$10k to under $20k,3,0,0,0,0,0,1,0,0,0,1
16 to 26,Male,Black or African-American,Some college,Employed part-time,$20k to under $30k,2,1,1,0,0,0,1,0,0,0,1
16 to 26,Female,Black or African-American,Some college,Employed part-time,$30k to under $40k,3,1,0,0,1,0,0,0,0,0,1
16 to 26,Female,Black or African-American,Some college,Employed part-time,$50k to under $75k,97,1,0,0,0,0,0,1,1,1,1
16 to 26,Male,Black or African-American,Some college,Employed part-time,$50k to under $75k,40,1,0,0,1,0,0,0,0,1,1
16 to 26,Male,Black or African-American,Some college,Employed part-time,$100k to under $150k,3,2,3,1,0,0,3,0,1,0,3
16 to 26,Female,Black or African-American,Some college,Employed full-time,Less than $10k,5,1,0,0,0,0,1,0,1,0,1
16 to 26,Female,Black or African-American,Some college,Employed full-time,$10k to under $20k,45,1,0,1,0,0,1,0,0,1,1
16 to 26,Male,Black or African-American,Some college,Employed full-time,$20k to under $30k,4,1,0,0,1,0,0,0,0,0,1
16 to 26,Female,Black or African-American,Some college,Employed full-time,$30k to under $40k,3,1,0,0,1,0,0,0,1,0,1
16 to 26,Male,Black or African-American,Some college,Employed full-time,$50k to under $75k,4,1,0,0,0,0,1,0,1,2,2
16 to 26,Male,Black or African-American,Some college,Employed full-time,$100k to under $150k,3,1,0,1,1,0,0,0,0,1,1
16 to 26,Female,Black or African-American,Some college,Not employed for pay,Less than $10k,3,2,1,2,0,2,0,0,0,0,2
16 to 26,Female,Black or African-American,Some college,Not employed for pay,$10k to under $20k,5,1,0,0,1,0,0,0,0,1,1
16 to 26,Female,Black or African-American,Some college,Not employed for pay,$20k to under $30k,30,1,1,0,0,1,0,0,1,0,1
16 to 26,Male,Black or African-American,Some college,Not employed for pay,$20k to under $30k,30,1,0,0,0,0,0,1,1,0,1
16 to 26,Female,Black or African-American,Some college,Not employed for pay,$30k to under $40k,13,1,0,0,0,0,1,0,0,1,1
16 to 26,Female,Black or African-American,Some college,Not employed for pay,$40k to under $50k,20,1,0,1,0,0,1,0,0,1,1
16 to 26,Female,Black or African-American,Some college,Not employed for pay,$100k to under $150k,4,1,0,0,0,0,1,0,1,1,1
16 to 26,Male,Black or African-American,Some college,Not employed for pay,$100k to under $150k,10,1,0,1,0,0,0,1,0,0,1
16 to 26,Female,Black or African-American,None,Not employed for pay,$10k to under $20k,6,1,0,0,0,0,1,0,1,0,1
16 to 26,Male,Black or African-American,None,Not employed for pay,$10k to under $20k,1,0,0,1,1,0,0,0,1,0,1
16 to 26,Female,Mixed race,High school incomplete,Employed part-time,$10k to under $20k,97,1,1,0,0,0,1,0,1,0,1
16 to 26,Male,Mixed race,High school incomplete,Employed part-time,$30k to under $40k,3,1,0,1,1,0,0,0,1,0,1
16 to 26,Female,Mixed race,High school incomplete,Employed full-time,Less than $10k,20,1,1,1,0,0,0,1,1,0,1
16 to 26,Female,Mixed race,High school incomplete,Not employed for pay,$40k to under $50k,30,0,1,0,0,1,0,0,1,1,1
16 to 26,Male,Mixed race,High school incomplete,Not employed for pay,$50k to under $75k,12,1,0,0,0,0,0,1,0,0,1
16 to 26,Female,Mixed race,High school incomplete,Not employed for pay,$100k to under $150k,20,1,0,0,1,0,0,0,0,0,1
16 to 26,Male,Mixed race,High school incomplete,Student,$100k to under $150k,20,1,0,1,0,0,1,0,0,1,1
16 to 26,Female,Mixed race,High school graduate,Employed part-time,Less than $10k,4,1,0,0,0,1,0,0,1,1,1
16 to 26,Male,Mixed race,High school graduate,Employed part-time,$40k to under $50k,38,1,1,1,0,0,1,0,1,1,1
16 to 26,Female,Mixed race,College graduate,Have own business/self-employed,$50k to under $75k,10,1,0,1,0,0,1,0,1,1,1
16 to 26,Male,Mixed race,Some college,Employed part-time,$10k to under $20k,5,1,0,1,0,0,1,0,0,0,1
16 to 26,Male,Mixed race,Some college,Employed part-time,$50k to under $75k,8,1,0,1,0,0,1,0,0,0,1
16 to 26,Male,Mixed race,Some college,Employed full-time,$50k to under $75k,3,1,0,0,1,0,0,0,1,1,1
16 to 26,Male,Mixed race,Post-graduate training/professional school,Employed full-time,$100k to under $150k,20,1,0,1,1,0,0,0,0,0,1
16 to 26,Male,Mixed race,Post-graduate training/professional school,Not employed for pay,$50k to under $75k,75,1,0,1,0,0,1,0,1,0,1
16 to 26,Male,Mixed race,None,Not employed for pay,Less than $10k,1,0,0,0,1,0,0,0,0,1,1
16 to 26,Female,Mixed race,None,Not employed for pay,$10k to under $20k,10,0,0,1,0,0,0,1,1,1,1
16 to 26,Male,Mixed race,None,Not employed for pay,$100k to under $150k,24,1,0,0,0,0,0,1,0,0,1
16 to 26,Male,Unknown,High school graduate,Employed full-time,$10k to under $20k,2,1,0,0,0,0,0,1,0,0,1
16 to 26,Female,Unknown,Some college,Employed part-time,Unknown,4,1,0,0,1,0,0,0,0,0,1
16 to 26,Male,Unknown,Some college,Employed full-time,Unknown,50,1,0,0,0,0,1,0,0,0,1
16 to 26,Female,Unknown,Technical/trade/vocational school,Employed full-time,$100k to under $150k,10,0,0,0,0,1,0,0,1,0,1
16 to 26,Female,Native American/American Indian,High school incomplete,Employed full-time,Less than $10k,5,0,0,0,0,0,0,1,0,0,1
16 to 26,Female,Native American/American Indian,High school graduate,Not employed for pay,$50k to under $75k,30,1,0,0,0,0,1,0,1,0,1
16 to 26,Female,Asian or Pacific Islander,High school incomplete,Not employed for pay,$75k to under $100k,12,1,0,0,1,0,0,0,1,1,1
16 to 26,Male,Asian or Pacific Islander,High school incomplete,Not employed for pay,$100k to under $150k,12,2,0,1,0,1,1,0,1,0,2
16 to 26,Female,Asian or Pacific Islander,High school graduate,Not employed for pay,$75k to under $100k,10,1,0,0,0,0,1,0,1,1,1
16 to 26,Male,Asian or Pacific Islander,High school graduate,Not employed for pay,$100k to under $150k,7,1,1,1,0,0,1,0,0,1,1
16 to 26,Female,Asian or Pacific Islander,College graduate,Employed full-time,$50k to under $75k,5,1,0,1,0,0,1,0,1,0,1
16 to 26,Male,Asian or Pacific Islander,College graduate,Employed full-time,$75k to under $100k,4,1,0,0,0,0,1,0,1,1,1
16 to 26,Male,Asian or Pacific Islander,College graduate,Employed full-time,$100k to under $150k,5,2,0,2,2,0,0,0,0,1,2
16 to 26,Female,Asian or Pacific Islander,College graduate,Employed full-time,Unknown,20,1,0,0,1,0,0,0,1,1,1
16 to 26,Male,Asian or Pacific Islander,College graduate,Employed full-time,Unknown,20,1,0,1,0,0,0,1,1,1,1
